text,frequency
Airfryer,7
washing machine,6
sound bar,6
fryer,5
TV,5
amp,3
phone,3
Fridge,3
Smart,2
Camera,2
Tv,2
External drive,2
Dishwasher,1
automatic,1
laundry,1
plasma,1
Instant pot,1
skin care,1
care,1
laptop,1
tire,1
couch,1
television set,1
Gas braai stand,1
weighted,1
blanket,1
UPS,1
AirPods,1
vacuum cleaner,1
clean,1
Ice cream maker,1
swimming pool stuff,1
CoriumSkincare,1
big,1
Furniture,1
place,1
Pots,1
Bedding,1
cushion,1
desk,1
chair,1
home,1
office,1
year,1
Headboard,1
stool,1
pump,1
